imagepath,product_height,product_length,product_width,unit
81c585d3.jpg,7.112,379.73,9.144,centimeters
816ea46f.jpg,55.88,31.75,19.685,centimeters
81b76292.jpg,8.2042,18.9992,8.2042,centimeters
814a7137.jpg,10.1092,5.6388,5.6388,centimeters
81c4e566.jpg,7.4,28.9,21.3,centimeters
81d5f371.jpg,26.94686,9.38022,11.9888,centimeters
81e7d07d.jpg,89.0016,45.9994,54.991,centimeters
8198509b.jpg,8,25,20,centimeters
819226b3.jpg,25,40,30,centimeters
8121bdb8.jpg,6.223,28.956,15.367,centimeters
815d7c21.jpg,20.0152,199.9996,90.0176,centimeters
81159a04.jpg,36.4998,24.511,24.511,centimeters
8106bf4b.jpg,0,0,0,centimeters
81680e11.jpg,10.16,33.655,10.16,centimeters
81efa345.jpg,5.08,53.34,30.9372,centimeters
81d1c4de.jpg,29.7942,16.6116,16.6116,centimeters
81f5a23f.jpg,2.9972,37.592,24.13,centimeters
811ec83f.jpg,130.6068,78.0034,66.294,centimeters
81c67128.jpg,175.26,22.86,22.86,centimeters
818c1bca.jpg,14.097,7.366,8.382,centimeters
811ebdec.jpg,1.524,4.064,15.24,centimeters
81397df0.jpg,0.9525,13.6652,3.5052,centimeters
812ac2d9.jpg,17.78,10.16,60.96,centimeters
8169f99c.jpg,10.5,29.7,15.9,centimeters
815d8bbf.jpg,0.5,45.72,0.5,centimeters
81e52105.jpg,12.954,12.065,12.065,centimeters
81b1f9ab.jpg,1.778,12.7,12.7,centimeters
81b8f7e9.jpg,15.494,9.271,21.336,centimeters
810e8f22.jpg,0.508,1.27,0.508,centimeters
818ea556.jpg,11.176,6.0198,6.0198,centimeters
817d2a74.jpg,45,29.5,26.6,centimeters
81cb90fc.jpg,4.1402,4.2926,7.3152,centimeters
81c20f75.jpg,157.48,7.62,106.68,centimeters
81a4fc65.jpg,0.9652,13.6652,3.5052,centimeters
8122e820.jpg,11.43,30.988,2.54,centimeters
8134115c.jpg,8,15,23,centimeters
81dc673d.jpg,14.5034,25.6794,12.1666,centimeters
814a9883.jpg,1.524,11.938,10.16,centimeters
819da6c7.jpg,22.987,8.382,8.382,centimeters
8140d569.jpg,15,10.5,4.5,centimeters
81e00c89.jpg,108.2,108.3,33.1,centimeters
81f5a61d.jpg,1.778,12.7,12.7,centimeters
814ff876.jpg,0,30.48,30.48,centimeters
8101a1a9.jpg,10.16,12.07,10.16,centimeters
8199833a.jpg,22.3,54,4,centimeters
81379853.jpg,7.112,27.94,4.064,centimeters
817226da.jpg,22.86,7.62,9.525,centimeters
8163df93.jpg,50.4825,25.4,19.3802,centimeters
81128c55.jpg,8.9916,9.8044,9.8044,centimeters
81dd78d4.jpg,226.06,83.82,45.72,centimeters
8155c1df.jpg,32.9946,53.0098,27.0002,centimeters
816539f3.jpg,27.94,40.64,12.7,centimeters
817d9679.jpg,6.985,2.667,2.667,centimeters
81393e86.jpg,1.524,15.6972,8.2042,centimeters
81b1aa0f.jpg,27.305,10.668,14.224,centimeters
81764bd9.jpg,104.14,223.52,78.74,centimeters
81055edc.jpg,103.124,130.048,85.09,centimeters
810b4b84.jpg,1.6002,9.0678,4.0386,centimeters
816700dc.jpg,15.0114,12.9032,12.9032,centimeters
81699ec5.jpg,46,170,41,centimeters
81d49efe.jpg,0.0381,24.7142,17.0688,centimeters
81c35eca.jpg,160.02,53.34,19.05,centimeters
814e37e2.jpg,2.54,27.94,2.54,centimeters
81b767db.jpg,29.21,12.065,18.415,centimeters
8120ed6f.jpg,0,76.2,139.7,centimeters
8126319a.jpg,24.13,5.4102,17.78,centimeters
81c1ce1a.jpg,22.2758,5.4991,5.4991,centimeters
812c0ec3.jpg,25.4,9.652,9.652,centimeters
813e033a.jpg,31.7,144.5,194.5,centimeters
8130b198.jpg,31.115,49.53,33.02,centimeters
81a036a3.jpg,1.778,12.7,12.7,centimeters
81c4ac06.jpg,134.0104,72.009,67.9958,centimeters
8190bc24.jpg,25.4,24.13,59.055,centimeters
817f8adc.jpg,2.2098,91.44,2.4892,centimeters
8158382d.jpg,21.9964,21.9964,4.0132,centimeters
81ffdb99.jpg,0,0,0,centimeters
814d50f5.jpg,22.5552,27.0002,27.0002,centimeters
8166d7b2.jpg,10.795,29.21,23.02002,centimeters
81c1d7aa.jpg,9.4996,24.9936,21.9964,centimeters
8169f7e5.jpg,88.9,99.06,91.44,centimeters
817f3a3e.jpg,2.9972,27.9908,24.511,centimeters
8168fd79.jpg,111.76,128.27,93.98,centimeters
81693ab9.jpg,11.938,11.938,8.9916,centimeters
8143d0c5.jpg,50.8,29.21,8.89,centimeters
818bad73.jpg,42.291,57.9882,33.5026,centimeters
819e148b.jpg,17.9832,17.9832,10.0076,centimeters
814220a2.jpg,6.35,7.62,17.78,centimeters
811f4a54.jpg,0.0762,0.0762,0.0762,centimeters
8138c1b8.jpg,18.796,21.844,9.9568,centimeters
81135652.jpg,50,50,50,centimeters
811315b4.jpg,23.9776,14.1986,14.1986,centimeters
81b14049.jpg,54.61,36.576,23.368,centimeters
818f824a.jpg,9.652,6.731,6.604,centimeters
815d6cc7.jpg,0.7874,11.6078,10.3886,centimeters
81b8de02.jpg,6.3246,16.0782,6.8834,centimeters
81a01faa.jpg,92.71,66.04,58.42,centimeters
81ec59da.jpg,2.6,10.1,15.2,centimeters
818005c8.jpg,1.778,11.9888,4.9784,centimeters
819b9edb.jpg,14.8,78.7,27.6,centimeters
816e4beb.jpg,26.0858,5.588,18.796,centimeters
8172c7ec.jpg,6.35,9.779,3.048,centimeters
810f9780.jpg,30.48,96.52,96.52,centimeters
812dc32b.jpg,5.9944,27.94,27.94,centimeters
8195c2a5.jpg,50.0126,76.9874,56.9976,centimeters
8114565e.jpg,10.16,10.16,19.05,centimeters
818f34b8.jpg,0,0,0,centimeters
81116c8f.jpg,132.08,233.68,27.94,centimeters
81966690.jpg,18.1991,13.79982,4.59994,centimeters
81a3ca18.jpg,69,78,170,centimeters
81699525.jpg,75.9968,65.9892,70.0024,centimeters
81a86b22.jpg,15.24,11.938,24.892,centimeters
81003ebe.jpg,17.78,99.06,111.76,centimeters
81a0b666.jpg,71.12,88.9,60.96,centimeters
81418697.jpg,50.165,60.325,34.925,centimeters
81441fb8.jpg,13.97,43.18,43.18,centimeters
81adbdcb.jpg,38.1,33.02,2.8575,centimeters
8186fd42.jpg,50,40.00000001,40.00000001,centimeters
81006f2d.jpg,93.98,78.74,78.74,centimeters
8162815c.jpg,36.195,25.019,8.89,centimeters
81c433f6.jpg,104.14,104.14,236.22,centimeters
81687853.jpg,28.6004,28.6004,28.6004,centimeters
818aed04.jpg,24.7,47.1,25.1,centimeters
81f9c376.jpg,16.51,7.62,10.16,centimeters
81f53f74.jpg,6.4008,18.923,5.8166,centimeters
81383f53.jpg,79.1972,36.0934,50.0888,centimeters
81b0b21f.jpg,38.1,25.4,3.81,centimeters
81a5da7d.jpg,33.02,38.1,2.8575,centimeters
81617cf9.jpg,13.716,4.699,8.636,centimeters
81ac865b.jpg,58.42,76.2,45.72,centimeters
814e4ca8.jpg,0.254,213.36,304.8,centimeters
8138075e.jpg,15.24,50.8,50.8,centimeters
81512a94.jpg,59.69,12.7,2.01,centimeters
81135328.jpg,89.916,83.058,87.884,centimeters
8168ff97.jpg,0.9525,304.8,91.44,centimeters
8167643a.jpg,0.635,228.6,68.58,centimeters
810c23d8.jpg,0.635,228.6,68.58,centimeters
